# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalClosedStoragesReclaimed,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalBytesRequested,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1782714482261000000,1782714512365000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1782714482261000000,1782714512365000000,5360994
FilePageCache.pageLoadsAboveSizeThreshold,1782714482261000000,1782714512365000000,0
FilePageCache.totalPageLoadsUs,1782714482261000000,1782714512365000000,597819
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782714482261000000,1782714512365000000,41943040
StorageLockContext.competingThreads.avg,1782714482261000000,1782714512365000000,2.290909090909091
FilePageCache.totalPageDisposalsUs,1782714482261000000,1782714512365000000,1357
FilePageCacheLockFree.housekeeperTurnsDone,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.heapBytesInUse,1782714482261000000,1782714512365000000,0
FilePageCache.maxRegisteredFiles,1782714482261000000,1782714512365000000,537
FilePageCache.uncachedFileAccess,1782714482261000000,1782714512365000000,331
FilePageCacheLockFree.totalPagesWriteMs,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.nativeBytesInUse,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesHandedOver,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.hits,1782714482261000000,1782714512365000000,3
FilePageCacheLockFree.totalHeapBytesAllocated,1782714482261000000,1782714512365000000,0
DirectByteBufferAllocator.misses,1782714482261000000,1782714512365000000,193
FilePageCacheLockFree.totalHeapBytesReclaimed,1782714482261000000,1782714512365000000,0
FilePageCacheLockFree.totalPagesAllocated,1782714482261000000,1782714512365000000,0
FilePageCache.disposedBuffers,1782714482261000000,1782714512365000000,196
MappedFileStorage.storages,1782714482261000000,1782714512365000000,0
FilePageCache.pageHits,1782714482261000000,1782714512365000000,0
FilePageCache.maxCacheSizeInBytes,1782714482261000000,1782714512365000000,202375168
FilePageCacheLockFree.totalBytesWritten,1782714482261000000,1782714512365000000,0
